experiment,collection-date,start-date,end-date,amendment,low-tide,cores-in,nuts-in,dark-start,light-start,O2,N2O,NO,H2S,notes
Mangrove_2,2024-06-10,2024-06-10 8:30,2024-06-12 17:06,NO3,2024-06-10 6:30,2024-06-10 8:30,2024-06-10 22:40,2024-06-10 22:40,NA,Complete,Complete,Failed,Complete,Failed NO run; nutrients replenished and sulfide measured in dark on incubation Day 2
Mangrove_3,2024-06-18,2024-06-18 15:15,2024-06-19 21:01,NO3,2024-06-18 12:20,2024-06-18 15:15,2024-06-18 20:00,2024-06-18 20:10,2024-06-19 10:50,Complete,NA,Complete,NA,
Mangrove_4,2024-06-24,2024-06-24 18:15,2024-06-25 13:00,NO3,2024-06-24 17:00,2024-06-24 18:15,2024-06-24 21:15,2024-06-24 21:15,NA,Complete,NA,Failed,NA,Failed NO run - baseline signal unstable
Mangrove_5,2024-06-30,2024-06-30 12:00,2024-07-02 1:02,NO3,2024-06-30 10:10,2024-06-30 12:00,2024-06-30 20:10,2024-06-30 20:10,2024-07-01 10:54,Complete,NA,Failed,NA,Falied NO run - baseline signal too high
Mangrove_6,2024-07-10,2024-07-10 20:30,2024-07-12 20:10,NO3,2024-07-10 18:35,2024-07-10 20:30,2024-07-11 0:00,2024-07-11 0:00,2024-07-12 7:00,NA,NA,Complete,NA,Duplicate NO sensor run - nutrients replenished before light start on 12 July
Mangrove_7,2024-08-06,2024-08-06 17:20,2024-08-07 11:21,NO3,2024-08-06 16:01,2024-08-06 17:20,2024-08-06 20:20,2024-08-06 20:20,NA,NA,NA,NA,Complete,H2S dark runs only - dark measurements on 06 Aug and 07 Aug
Mangrove_8,2024-08-07,2024-08-07 17:35,2024-08-09 9:10,NO3,2024-08-07 16:53,2024-08-07 17:35,2024-08-08 7:20,2024-08-08 20:00,2024-08-08 7:20,NA,Complete,NA,NA,Light measurments first - amendments added morning after collection; nutrients replenished for dark incubation; duplicate N2O sensors
Mangrove_9,2024-08-11,2024-08-11 11:30,2024-08-12 1:18,NO3,2024-08-11 7:23,2024-08-11 11:30,2024-08-12 20:40,2024-08-11 20:40,2024-08-11 10:45,NA,Complete,NA,NA,Dark measurements first; light nutrients added at 12:30 due to temperature acclimation following flume reset; duplicate N2O sensors
Mangrove_10,2024-08-13,2024-08-13 0:00,2024-08-14 12:00,NO3,2024-08-13 9:00,2024-08-13 11:30,2024-08-14 20:00,2024-08-13 20:00,NA,NA,Failed,NA,NA,Failed N2O run - problem with nutrient stock solution
Mangrove_11,2024-08-13,2024-08-14 11:30,2024-08-15 17:49,NO3,2024-08-13 9:00,2024-08-13 11:30,2024-08-14 21:00,2024-08-14 21:15,NA,NA,NA,NA,Complete,Sulfide measurements on cores taken for Mangrove 10
Mangrove_12,2024-08-19,2024-08-19 16:15,2024-08-20 17:57,NA,2024-08-19 15:00,2024-08-19 16:15,2024-08-19 20:00,2024-08-19 20:00,NA,NA,NA,NA,Complete,Post-hurricane sulfide assessment
Mangrove_13,2024-08-19,2024-08-20 17:57,2024-08-21 12:07,NA,2024-08-19 15:00,2024-08-19 16:15,2024-08-19 20:00,2024-08-20 17:47,NA,Complete,NA,NA,NA,Post-hurricane O2 assessment; using same cores as Mangrove 12
Mangrove_14,2024-08-21,2024-08-21 19:40,2024-08-22 11:25,NO3,2024-08-21 17:35,2024-08-21 19:40,2024-08-21 22:30,2024-08-21 22:30,NA,NA,Complete,NA,NA,Post-hurricane N2O assessment; dark only; duplicate sensors
Mangrove_15,2024-08-21,2024-08-22 19:40,2024-08-23 13:29,NO3,2024-08-21 17:35,2024-08-21 19:40,2024-08-22 19:30,2024-08-22 22:15,NA,NA,NA,Complete,NA,Same cores as Mangrove 14; flumes resent and nutrients replenished on 22 Aug evening.