experiment,collection.date,start.date,end.date,amendment,low.tide,cores.in,nuts.in,dark.start,light.start
Mangrove_2,6/10/24,6/10/24 08:30,6/12/24 17:06,NO3,6/10/24 06:30,6/10/24 08:30,6/10/24 22:40,6/10/24 22:40,NA
Mangrove_3,6/18/24,6/18/24 15:15,6/19/24 21:01,NO3,6/18/24 12:20,6/18/24 15:15,6/18/24 20:00,6/18/24 20:10,6/19/24 10:50
Mangrove_4,6/24/24,6/24/24 18:15,6/25/24 13:00,NO3,6/24/24 17:00,6/24/24 18:15,6/24/24 21:15,6/24/24 21:15,NA
Mangrove_5,6/30/24,6/30/24 12:00,7/2/24 01:02,NO3,6/30/24 10:10,6/30/24 12:00,6/30/24 20:10,6/30/24 20:10,7/1/24 10:54
Mangrove_6,7/10/24,7/10/24 20:30,7/12/24 20:10,NO3,7/10/24 18:35,7/10/24 20:30,7/11/24 00:00,7/11/24 00:00,7/12/24 07:00
Mangrove_7,8/6/24,8/6/24 17:20,8/7/24 11:21,NO3,8/6/24 16:01,8/6/24 17:20,8/6/24 20:20,8/6/24 20:20,NA
Mangrove_8,8/7/24,8/7/24 17:35,8/9/24 09:10,NO3,8/7/24 16:53,8/7/24 17:35,8/8/24 07:20,8/8/24 20:00,8/8/24 07:20
Mangrove_9,8/11/24,8/11/24 11:30,8/12/24 01:18,NO3,8/11/24 07:23,8/11/24 11:30,8/12/24 20:40,8/11/24 20:40,8/11/24 10:45
Mangrove_10,8/13/24,8/13/24 00:00,8/14/24 12:00,NO3,8/13/24 09:00,8/13/24 11:30,8/14/24 20:00,8/13/24 20:00,NA
Mangrove_11,8/13/24,8/14/24 11:30,8/15/24 17:49,NO3,8/13/24 09:00,8/13/24 11:30,8/14/24 21:00,8/14/24 21:15,NA
Mangrove_12,8/19/24,8/19/24 16:15,8/20/24 17:57,NA,8/19/24 15:00,8/19/24 16:15,8/19/24 20:00,8/19/24 20:00,NA
Mangrove_13,8/19/24,8/20/24 17:57,8/21/24 12:07,NA,8/19/24 15:00,8/19/24 16:15,8/19/24 20:00,8/20/24 17:47,NA
Mangrove_14,8/21/24,8/21/24 19:40,8/22/24 11:25,NO3,8/21/24 17:35,8/21/24 19:40,8/21/24 22:30,8/21/24 22:30,NA
Mangrove_15,8/21/24,8/22/24 19:40,8/23/24 13:29,NO3,8/21/24 17:35,8/21/24 19:40,8/22/24 19:30,8/22/24 22:15,NA